Angle,Distance,Both,Time to Compute,Traveled,Ping
0,0,4,11.297325,18739028.882467516,62.50667255772279
0,0,4,11.034826,18739028.882467516,62.50667255772279
0,1,3,9.311372,17102748.021244887,57.04862707167283
0,1,3,9.525338,17814478.191873956,59.42270339142208
1,0,3,9.149369,18035106.957522642,60.15864174221463
0,0,4,9.118857,17716870.890765525,59.097120478460354
0,0,4,13.929781,17607767.39239099,58.73319037884992
0,2,2,14.991266,18920093.471674934,63.11063902046599
0,1,3,9.273351,17685433.755665734,58.99225748250895
0,0,4,12.6578,18979356.327647455,63.30831863109809
0,1,3,9.286856,18338337.69823232,61.17011062557331
0,1,3,9.441847,17441830.79907384,58.17968547905636
0,0,4,11.579817,17115105.982134935,57.08984879237566
0,1,3,9.490348,18648510.821210083,62.20473680368422
0,1,3,9.508852,17351713.962603852,57.879088066858664
0,0,4,8.058867,18999227.14126201,63.37460053118218
0,0,4,8.131372,18304184.506262287,61.05618783903718
1,1,2,9.143367,17447260.10369232,58.197795690003346
0,1,3,9.624847,17706979.184286155,59.06412529702266
0,0,4,8.748361,17543464.806287486,58.51870003789384
0,2,2,11.506818,18026767.80839182,60.13082533468361
0,1,3,12.02481,16788083.389747694,55.99901883370839
0,0,4,9.058856,17410966.89762401,58.076734584755556
0,0,4,11.309822,18716302.213973112,62.43086455108501
0,1,3,9.307352,18183392.629704297,60.65326950623566
0,0,4,9.42886,17814811.976414535,59.42381677681221
0,2,2,15.484765,18226356.457740117,60.79658141144191
0,1,3,9.179346,17727046.970290843,59.13106422628207
0,1,3,10.17484,18858766.30290397,62.90607360347976
0,0,4,9.194355,17912047.956885584,59.748161097441304
0,1,3,10.256339,18555523.998569936,61.89456614802187
0,0,4,9.184856,18084712.628810316,60.3241084519162
0,1,3,10.247837,17507672.495177716,58.39930973839354
0,1,3,9.689847,17347096.98113146,57.863687474282074
0,1,3,15.310758,19198750.09877579,64.04013748356559
0,0,4,8.714363,18069967.171050884,60.27492289883
0,2,2,8.776362,17395368.09779295,58.02470258889019
0,1,3,9.470848,18042912.107614722,60.184676920671826
0,1,3,8.98836,18102194.544682443,60.38242184680739
0,0,4,8.487862,18054333.29355859,60.22277389648053
0,2,2,10.561834,17083425.3954538,56.98417372935428
0,1,3,16.705235,18505575.71631746,61.72795661114788
0,0,4,9.250351,17220329.55121431,57.44083684085203
0,1,3,9.529847,18326226.088069666,61.12971064245081
0,1,3,11.112802,17441286.823895015,58.17787097316089
0,1,3,8.588863,17868421.120729726,59.602637635183605
0,2,2,17.900213,17651844.077898916,58.88021437703861
0,2,2,10.54283,18291042.049976096,61.01234932334687
0,0,4,9.33785,17651279.27392838,58.87833039377209
0,0,4,9.437348,17855277.558916073,59.558795431850605
0,0,3,4.801423,17534643.07662771,58.48927391497706
0,1,3,13.955777,17214039.93026968,57.41985692351672
0,1,3,8.531862,18389527.963424727,61.34086297163103
0,2,2,10.087837,17759503.610801365,59.23932792625497
0,1,3,8.723859,17775764.65218955,59.293568922193124
0,1,3,14.094772,17504945.19903471,58.39021245763006
0,1,3,18.199719,18583162.538978346,61.986758395876194
0,0,4,9.264849,17829693.516697425,59.47345625233954
0,1,3,9.073854,17597849.48039156,58.70010778520577
0,0,4,9.061367,18056448.241270043,60.22982860272522
0,1,3,12.379801,17112709.198165603,57.081853981561174
0,2,2,9.932863,17498830.6662378,58.36981657149438
0,0,4,13.170773,17522609.888530556,58.44913551970953
0,0,4,14.491766,18466774.504277643,61.598529698417906
0,1,3,11.399841,17832844.404240225,59.4839664819325
0,1,3,13.052782,17807391.52045048,59.399064799851
0,0,4,10.031339,18776240.899746917,62.63079848729389
0,1,3,10.245335,17741899.28612951,59.1806062195558
0,0,4,9.37535,17720346.757221833,59.10871472103298
0,1,3,8.748362,17766603.259649854,59.26300980585667
0,0,4,8.947859,17158711.102574535,57.23529981880043
0,1,3,9.055349,18042287.201725394,60.18259245898234
0,1,3,13.077291,18424158.736410517,61.456378796971855
0,1,3,14.780265,18053339.71493644,60.21945967491737
0,0,4,12.031808,18662435.433986418,62.251184312611315
0,1,3,13.563286,18118233.148846313,60.43592087202592
0,0,3,4.479925,17228489.9816776,57.46805710707277
0,1,3,12.111807,18182209.28538012,60.64932229442131
1,0,3,9.015855,17691864.969750214,59.013709703723215
0,0,4,9.624846,17244661.789082315,57.52200045047937
0,1,3,8.991356,17175324.478590745,57.290716076560464
0,0,4,9.565344,18180321.231081612,60.64302442314163
0,0,4,11.940808,18479804.54354051,61.64199323127902
0,0,4,13.71728,17693559.77841479,59.01936297694826
0,0,4,11.26482,17642850.092631485,58.850213671258906
0,1,3,13.836262,18140641.554089747,60.510667266723175
0,0,4,9.105855,17740310.49117037,59.17530656999044
0,2,2,8.689861,17280189.32415349,57.64050755217633
0,1,3,15.738748,17824055.493410323,59.45464983084939
0,0,4,8.872857,17670952.05819613,58.94395173905287
0,0,4,9.124854,18178088.711947586,60.635577540842405
0,0,4,8.838359,17768467.442494657,59.269228050537265
0,1,3,8.609887,18828270.81667845,62.80435161009672
0,0,4,15.776246,17380851.024910003,57.976278845755886
0,0,4,11.854313,17641816.49789523,58.8467659703059
0,2,2,8.953354,18750956.713516887,62.54645951970482
0,0,4,12.088804,18212021.09535465,60.748763789288446
0,1,3,15.356253,17076155.845381927,56.9599251202703
0,2,2,9.006853,18276246.26925942,60.96299591094254
0,0,4,8.946857,17460916.57700481,58.243348781948036
0,1,3,8.426363,17991006.67571868,60.011539035254046
0,0,4,11.986306,17826628.281479206,59.46323172814998
0,0,4,9.034354,17822236.219186444,59.44858138520485
0,0,4,8.596361,18063800.137346778,60.2543518885171
0,0,4,12.765294,17109689.905151308,57.07178270406947
0,1,3,12.232302,17860008.950682137,59.574577656090646
0,1,3,9.271351,17012486.51241639,56.74754708442826
0,1,3,11.725311,17294729.242861047,57.6890075007793
0,0,4,16.128741,17279195.327882495,57.63719193748656
0,0,4,13.547282,17333475.197640166,57.81825009512636
0,0,4,8.941356,17567921.75458181,58.60027963672911
0,0,4,9.27735,17807981.133936007,59.401031538752285
0,0,4,9.226352,17238823.02297461,57.502524423011536
0,0,4,15.010259,17103830.724610005,57.052238581380465
0,1,3,12.990792,18145677.474159367,60.52746528805037
0,1,3,12.431801,17792253.85254844,59.348570974542596
0,0,4,11.91831,17406891.059720937,58.063139052841734
0,0,4,8.667359,18752387.16164496,62.55123098109233
0,1,3,17.180234,18348834.26187276,61.205123393341026
0,0,4,8.452366,17927876.76258747,59.80096031031371
0,1,3,8.74136,17799654.03842256,59.373255337761265
0,2,2,13.454785,18182149.285085537,60.64912215498023
0,0,4,9.094355,18355806.622712333,61.22838068584465
0,1,3,8.978368,18476600.878055982,61.631306953421074
0,0,4,12.519298,18490663.366527583,61.67821436616665
0,1,3,15.393754,17060325.261878636,56.90711997729068
0,0,4,9.131865,17991184.342252143,60.01213166702281
0,1,3,12.818297,16957335.044931617,56.563581589696895
0,1,3,8.693879,17504212.36548416,58.38776798801155
0,1,3,16.126743,17417711.309770674,58.099231522259096
0,0,4,13.057805,17830034.113321446,59.474592360394304
0,1,3,9.065838,17090403.87373718,57.00745142745413
0,1,3,12.775298,17226467.07347172,57.46130941157412
0,0,4,9.237853,17459544.946081165,58.2387735136376
0,0,4,14.51477,17493222.72587132,58.351110495826894
0,1,3,9.128856,18050036.052985214,60.20843984474784
0,1,3,13.051293,17910751.63406965,59.74383702994064
0,0,4,8.794361,17879694.48735272,59.640241538808844
0,0,4,13.596285,18941993.05617204,63.183688171833246
0,0,4,8.648363,17450935.60777238,58.21005585201377
0,1,3,9.42635,17821792.852651887,59.44710247362558
0,1,3,10.921329,17900377.7370427,59.709233433955056
0,0,4,11.965809,17852450.23164239,59.549364483148935
0,0,4,9.163854,17353627.874018904,57.88547218819577
0,0,4,13.427288,17311057.092333455,57.74347134450059
0,0,4,11.103325,19133851.87524094,63.82366030998772
0,1,3,13.189792,17156277.086249314,57.227180814214066
0,0,4,10.324837,17760382.824287117,59.242260666783146
0,1,3,8.448339,18394511.607878596,61.357486620272375
0,0,4,10.77933,18400655.352106143,61.377979945253
0,1,3,13.705282,18909506.03377308,63.0753231287884
1,0,3,12.949295,18249695.215288624,60.874431127408435
0,1,3,10.466833,17437233.097551975,58.16434919747272
0,0,4,9.52685,18240587.741124094,60.84405186341345
0,1,3,9.239356,17692868.80518771,59.01705813833991
0,0,4,9.887341,17550348.857933052,58.54166276263153
0,0,4,8.774861,17972327.15994227,59.94923087705139
0,0,4,10.041841,17859052.144962113,59.571386095726545
0,1,3,12.125307,17853822.060375545,59.55394041128088
0,1,3,8.772862,17499015.541441254,58.37043324879814
0,1,3,9.280354,17749609.753227063,59.20632556953689
0,1,3,14.331785,18196382.523216777,60.69659912728683
0,0,4,8.643363,17871478.64691658,59.612836444812274
0,1,3,9.179851,17408549.26816269,58.06867024086387
0,0,4,9.470364,17565714.089293037,58.59291565793449
0,1,3,10.484334,16976629.107003413,56.627939653703
0,0,4,15.050263,17680497.197093315,58.97579089546308
0,1,3,13.352792,17749386.796134174,59.20558186472235
1,1,2,13.510287,18532703.18163501,61.818444095988234
0,1,3,11.999821,18820183.114984527,62.777373940939086
0,0,4,14.025771,18362130.88176425,61.249476143469906
0,2,2,12.448802,17968041.83134857,59.934936559406175
0,2,2,9.126856,17931291.900620464,59.812351984669235
0,1,3,9.172365,17851085.877855822,59.54481348875511
0,1,3,8.674348,18031596.82995882,60.14693321688795
0,0,4,9.751846,17793465.158010345,59.35261145467364
0,0,4,8.803361,18569514.935489725,61.94123489047945
0,1,3,9.071357,17708819.18006689,59.07026286234131
0,1,3,9.220353,18091034.60563165,60.3451962968396
0,1,3,9.458351,18345420.527970348,61.19373640266101
0,1,3,9.122856,18113378.1520717,60.41972634585475
0,0,4,9.232357,18367751.01158881,61.26822287879322
0,0,4,9.080856,17891075.987637047,59.6782061375055
0,0,4,9.779846,17128862.34939371,57.13573509466065
0,1,3,9.088356,17490990.69679136,58.34366524817208
0,1,3,14.741267,17444003.44199681,58.18693263581259
0,1,3,9.925353,17859316.69556175,59.57226854154646
0,0,4,12.054298,18616702.224437833,62.098634744957806
0,0,4,15.747252,17374479.927131552,57.95502715095523
0,0,4,9.047858,17852627.43912686,59.54995558369507
0,1,3,9.154855,17336772.388242085,57.82924833919798
0,1,3,12.037308,17605140.927755788,58.724429435795365
0,1,3,14.881265,17803339.427701145,59.38554847324492
0,1,3,13.117794,18026914.226113636,60.13131373163585
0,2,2,14.314774,16615258.415020669,55.42253676663788
0,1,3,8.594864,17640822.64762467,58.84345084262117
0,1,3,10.666832,18582645.462122895,61.98503361313033
0,2,2,17.003732,17266170.721319474,57.59374652616167
0,0,4,10.885829,17398443.450358815,58.034960860919114
0,1,3,13.479288,17558521.99584147,58.56892541632692
0,0,4,9.256854,17700996.393203177,59.044168853946
0,2,2,12.369305,17322968.07973203,57.78320212211088
0,1,3,10.319838,17959895.15174838,59.907762161127835
0,0,4,11.569817,17267952.425040904,57.59968965009882
0,1,3,10.389336,18024582.688516244,60.12353655929302
0,1,3,17.272729,16904526.04664755,56.38742973121228
0,0,4,9.50635,18165648.969411556,60.5940830259303
0,0,4,8.630364,19212816.45464335,64.08705779655558
0,1,3,11.024326,18253375.454833265,60.88670708522854
0,1,3,9.976844,17231954.65406847,57.479614010262054
0,1,3,9.456351,17035427.130185362,56.824068749032705
0,2,2,12.146809,17220860.65761509,57.44260842112415
0,1,3,14.022778,17054376.747852992,56.88727787017093
0,1,3,11.651316,18252863.435334597,60.884999172009174
0,2,2,13.395789,17723681.31421309,59.11983760596394
0,2,2,8.931859,18009239.730577085,60.0723579601252
0,0,4,11.866813,17806149.155041326,59.394920714887256
1,0,3,13.018813,18628266.475561664,62.13720893484279
0,0,4,15.542251,18622497.794324845,62.11796668534196
0,0,4,8.782361,17713633.24242255,59.086320845987366
1,0,3,9.024358,17444432.08065725,58.188362420491494
0,1,3,13.123293,19762484.44648557,65.92055287236971
0,1,3,11.147824,17185749.50933758,57.32549023627727
0,1,3,10.862319,17587939.900498237,58.66705298447616
0,0,4,9.173854,17955903.237920284,59.89444656979722
0,0,4,14.803766,19284465.938197248,64.32605474968071
0,1,3,9.901344,18510664.500461493,61.74493096804775
0,0,4,8.87986,18564226.5940695,61.92359488215241
0,1,3,9.521349,18030341.755208023,60.14274673812347
0,0,4,10.368339,17481667.61959366,58.31256680986549
0,1,3,12.03081,16941367.600139245,56.51031992659363
0,0,4,13.94078,18771665.16224421,62.6155354697925
0,1,3,8.855864,17465797.8269594,58.259630879302044
0,1,3,12.451803,17423069.920673072,58.11710592435012
0,1,3,13.066293,17118869.98667302,57.102404160140104
0,1,3,14.080271,17476727.591307424,58.29608864910004
0,1,3,15.12976,18522233.443376545,61.78352080806378
0,0,4,9.228352,18800736.47443518,62.71250692991147
0,0,4,9.257353,18298175.825613786,61.03614503766494
0,0,4,8.845845,16861115.933327485,56.24262917852571
