werkzeug - INFO -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:46] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FO0A HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:46] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FO0X&sid=0e3372369d1e446984fbb51bfdb73f59 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:46] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FO0L&sid=0e3372369d1e446984fbb51bfdb73f59 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:46] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FO1I&sid=0e3372369d1e446984fbb51bfdb73f59 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:46] "GET / HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:46] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FO2_&sid=0e3372369d1e446984fbb51bfdb73f59 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:46] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FO4-&sid=0e3372369d1e446984fbb51bfdb73f59 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:47] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FOAB&sid=0e3372369d1e446984fbb51bfdb73f59 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:47] "GET /static/styles.css HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:53] "GET /static/bundle.js HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:56] "GET /static/Assets/approximateTerrainHeights.json HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:56] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQIh HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:56] "GET /static/Assets/IAU2006_XYS/IAU2006_XYS_16.json HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:56] "GET /static/Assets/Textures/SkyBox/tycho2t3_80_px.jpg HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:56] "GET /static/Assets/Textures/SkyBox/tycho2t3_80_mx.jpg HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:56] "GET /static/Assets/Textures/SkyBox/tycho2t3_80_py.jpg HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:56] "GET /static/Assets/Textures/SkyBox/tycho2t3_80_my.jpg HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:56] "GET /static/Assets/Textures/SkyBox/tycho2t3_80_pz.jpg HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:56] "GET /static/Assets/Textures/SkyBox/tycho2t3_80_mz.jpg HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:56] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQUW&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:56] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQUh&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:56] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQVE&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:56] "GET /static/Assets/Textures/moonSmall.jpg HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:56] "GET /static/Assets/Images/ion-credit.png HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:56] "GET /static/Assets/Images/bing_maps_credit.png HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQYO&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQZh&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQaV&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQah&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQbB&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQd5&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQdI&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQde&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQe4&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /static/manifest.json HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /static/favicon.ico HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FO1g&sid=0e3372369d1e446984fbb51bfdb73f59 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQeL&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQeb&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQex&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQem&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQfB&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQf4&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQfL&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQfS&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQfb&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQg1&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQfr&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQgi&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQh9&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQgm&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQhQ&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQi1&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQhX&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQiK&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQij&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQiO&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQj1&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQjD&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQiu&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQjP&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQji&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQjT&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQjv&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /static/Workers/cesiumWorkerBootstrapper.js HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /static/Workers/transferTypedArrayTest.js HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQkQ&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQkk&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQlB&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQkx&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQlQ&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQlW&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQlt&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQm0&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQmE&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQme&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQmO&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQmp&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQn8&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQmw&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQnK&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
